Voltage (V),Current (A),Power (W),Energy (kWh)
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
231.90,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.10,0.04,9.70,0.00
232.10,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.30,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.30,0.04,9.60,0.00
232.40,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.30,0.04,9.70,0.00
232.40,0.04,9.60,0.00
232.60,0.04,9.60,0.00
232.60,0.04,9.60,0.00
232.70,0.04,9.60,0.00
232.80,0.04,9.60,0.00
232.60,0.04,9.60,0.00
232.20,0.04,9.70,0.00
232.30,0.04,9.60,0.00
232.30,0.04,9.60,0.00
232.40,0.04,9.60,0.00
232.50,0.04,9.60,0.00
232.50,0.04,9.70,0.00
232.50,0.04,9.60,0.00
232.50,0.04,9.60,0.00
232.40,0.04,9.70,0.00
232.20,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.00,0.04,9.60,0.00
232.00,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.10,0.04,9.70,0.00
232.00,0.04,9.70,0.00
231.90,0.04,9.70,0.00
231.50,0.04,9.60,0.00
231.50,0.04,9.60,0.00
231.60,0.04,9.60,0.00
231.60,0.04,9.60,0.00
231.70,0.04,9.60,0.00
231.80,0.04,9.60,0.00
232.00,0.04,9.60,0.00
232.00,0.04,9.70,0.00
232.00,0.04,9.70,0.00
231.80,0.04,9.60,0.00
232.90,0.04,9.60,0.00
233.40,0.04,9.70,0.00
233.60,0.04,9.60,0.00
233.60,0.04,9.60,0.00
233.50,0.04,9.70,0.00
233.30,0.04,9.60,0.00
233.40,0.04,9.60,0.00
232.60,0.04,9.60,0.00
232.60,0.04,9.60,0.00
231.60,0.04,9.60,0.00
231.60,0.04,9.60,0.00
231.60,0.04,9.60,0.00
231.50,0.04,9.60,0.00
231.50,0.04,9.60,0.00
231.40,0.04,9.60,0.00
231.40,0.04,9.60,0.00
231.50,0.04,9.70,0.00
231.60,0.04,9.70,0.00
231.60,0.04,9.70,0.00
231.60,0.04,9.60,0.00
231.70,0.04,9.70,0.00
231.60,0.04,9.70,0.00
231.70,0.04,9.60,0.00
231.70,0.04,9.60,0.00
231.90,0.04,9.60,0.00
232.00,0.04,9.70,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.30,0.04,9.60,0.00
232.30,0.04,9.60,0.00
232.10,0.04,9.70,0.00
231.80,0.04,9.60,0.00
231.80,0.04,9.60,0.00
231.80,0.04,9.60,0.00
231.80,0.04,9.70,0.00
231.70,0.04,9.60,0.00
231.80,0.04,9.60,0.00
231.80,0.04,9.60,0.00
230.80,0.04,9.60,0.00
231.00,0.04,9.60,0.00
232.00,0.04,9.60,0.00
231.80,0.04,9.70,0.00
231.80,0.04,9.70,0.00
231.80,0.04,9.60,0.00
231.90,0.04,9.60,0.00
231.90,0.04,9.60,0.00
231.90,0.04,9.60,0.00
231.90,0.04,9.60,0.00
232.00,0.04,9.60,0.00
232.30,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.00,0.04,9.70,0.00
232.10,0.04,9.60,0.00
232.10,0.04,9.60,0.00
232.20,0.04,9.60,0.00
232.40,0.04,9.60,0.00
231.90,0.04,9.60,0.00
231.90,0.04,9.70,0.00
231.90,0.04,9.70,0.00
231.80,0.04,9.60,0.00
231.90,0.04,9.60,0.00
232.00,0.04,9.70,0.00
231.80,0.04,9.60,0.00
231.80,0.04,9.60,0.00
231.70,0.04,9.70,0.00
231.80,0.04,9.70,0.00
231.70,0.04,9.60,0.00
231.70,0.04,9.70,0.00
231.70,0.04,9.70,0.00
231.60,0.04,9.70,0.00
231.50,0.04,9.60,0.00
231.50,0.04,9.60,0.00
231.60,0.04,9.60,0.00
231.60,0.04,9.60,0.00
231.50,0.04,9.60,0.00
231.60,0.04,9.60,0.00
231.40,0.04,9.60,0.00
231.50,0.04,9.60,0.00
231.50,0.04,9.60,0.00
231.50,0.04,9.60,0.00
231.80,0.04,9.60,0.00
